passer,pre_shot_passes
Juan Manuel Mata García,41
Anthony Martial,29
Wayne Mark Rooney,26
Daley Blind,21
Ander Herrera Agüera,14
Jesse Lingard,12
Memphis Depay,12
Ashley Young,8
Matteo Darmian,8
Marouane Fellaini-Bakkioui,8
Luis Antonio Valencia Mosquera,8
Faustino Marcos Alberto Rojo,7
Marcus Rashford,6
Cameron Borthwick-Jackson,6
Bastian Schweinsteiger,5
Morgan Schneiderlin,5
Michael Carrick,4
Luke Shaw,4
Chris Smalling,3
Andreas Hoelgebaum Pereira,2
Javier Hernández Balcázar,1
James Wilson,1
Guillermo Varela Olivera,1
Paddy McNair,1
Timothy Evans Fosu-Mensah,1
